# Ideal (no losses) protected aluminum mirror coating, V2, Date=March 7, 2011
# Wavelength(nm) Reflectance(0-1)
300.00 1.0
301.00 1.0
302.00 1.0
303.00 1.0
304.00 1.0
305.00 1.0
306.00 1.0
307.00 1.0
308.00 1.0
309.00 1.0
310.00 1.0
311.00 1.0
312.00 1.0
313.00 1.0
314.00 1.0
315.00 1.0
316.00 1.0
317.00 1.0
318.00 1.0
319.00 1.0
320.00 1.0
321.00 1.0
322.00 1.0
323.00 1.0
324.00 1.0
325.00 1.0
326.00 1.0
327.00 1.0
328.00 1.0
329.00 1.0
330.00 1.0
331.00 1.0
332.00 1.0
333.00 1.0
334.00 1.0
335.00 1.0
336.00 1.0
337.00 1.0
338.00 1.0
339.00 1.0
340.00 1.0
341.00 1.0
342.00 1.0
343.00 1.0
344.00 1.0
345.00 1.0
346.00 1.0
347.00 1.0
348.00 1.0
349.00 1.0
350.00 1.0
351.00 1.0
352.00 1.0
353.00 1.0
354.00 1.0
355.00 1.0
356.00 1.0
357.00 1.0
358.00 1.0
359.00 1.0
360.00 1.0
361.00 1.0
362.00 1.0
363.00 1.0
364.00 1.0
365.00 1.0
366.00 1.0
367.00 1.0
368.00 1.0
369.00 1.0
370.00 1.0
371.00 1.0
372.00 1.0
373.00 1.0
374.00 1.0
375.00 1.0
376.00 1.0
377.00 1.0
378.00 1.0
379.00 1.0
380.00 1.0
381.00 1.0
382.00 1.0
383.00 1.0
384.00 1.0
385.00 1.0
386.00 1.0
387.00 1.0
388.00 1.0
389.00 1.0
390.00 1.0
391.00 1.0
392.00 1.0
393.00 1.0
394.00 1.0
395.00 1.0
396.00 1.0
397.00 1.0
398.00 1.0
399.00 1.0
400.00 1.0
401.00 1.0
402.00 1.0
403.00 1.0
404.00 1.0
405.00 1.0
406.00 1.0
407.00 1.0
408.00 1.0
409.00 1.0
410.00 1.0
411.00 1.0
412.00 1.0
413.00 1.0
414.00 1.0
415.00 1.0
416.00 1.0
417.00 1.0
418.00 1.0
419.00 1.0
420.00 1.0
421.00 1.0
422.00 1.0
423.00 1.0
424.00 1.0
425.00 1.0
426.00 1.0
427.00 1.0
428.00 1.0
429.00 1.0
430.00 1.0
431.00 1.0
432.00 1.0
433.00 1.0
434.00 1.0
435.00 1.0
436.00 1.0
437.00 1.0
438.00 1.0
439.00 1.0
440.00 1.0
441.00 1.0
442.00 1.0
443.00 1.0
444.00 1.0
445.00 1.0
446.00 1.0
447.00 1.0
448.00 1.0
449.00 1.0
450.00 1.0
451.00 1.0
452.00 1.0
453.00 1.0
454.00 1.0
455.00 1.0
456.00 1.0
457.00 1.0
458.00 1.0
459.00 1.0
460.00 1.0
461.00 1.0
462.00 1.0
463.00 1.0
464.00 1.0
465.00 1.0
466.00 1.0
467.00 1.0
468.00 1.0
469.00 1.0
470.00 1.0
471.00 1.0
472.00 1.0
473.00 1.0
474.00 1.0
475.00 1.0
476.00 1.0
477.00 1.0
478.00 1.0
479.00 1.0
480.00 1.0
481.00 1.0
482.00 1.0
483.00 1.0
484.00 1.0
485.00 1.0
486.00 1.0
487.00 1.0
488.00 1.0
489.00 1.0
490.00 1.0
491.00 1.0
492.00 1.0
493.00 1.0
494.00 1.0
495.00 1.0
496.00 1.0
497.00 1.0
498.00 1.0
499.00 1.0
500.00 1.0
501.00 1.0
502.00 1.0
503.00 1.0
504.00 1.0
505.00 1.0
506.00 1.0
507.00 1.0
508.00 1.0
509.00 1.0
510.00 1.0
511.00 1.0
512.00 1.0
513.00 1.0
514.00 1.0
515.00 1.0
516.00 1.0
517.00 1.0
518.00 1.0
519.00 1.0
520.00 1.0
521.00 1.0
522.00 1.0
523.00 1.0
524.00 1.0
525.00 1.0
526.00 1.0
527.00 1.0
528.00 1.0
529.00 1.0
530.00 1.0
531.00 1.0
532.00 1.0
533.00 1.0
534.00 1.0
535.00 1.0
536.00 1.0
537.00 1.0
538.00 1.0
539.00 1.0
540.00 1.0
541.00 1.0
542.00 1.0
543.00 1.0
544.00 1.0
545.00 1.0
546.00 1.0
547.00 1.0
548.00 1.0
549.00 1.0
550.00 1.0
551.00 1.0
552.00 1.0
553.00 1.0
554.00 1.0
555.00 1.0
556.00 1.0
557.00 1.0
558.00 1.0
559.00 1.0
560.00 1.0
561.00 1.0
562.00 1.0
563.00 1.0
564.00 1.0
565.00 1.0
566.00 1.0
567.00 1.0
568.00 1.0
569.00 1.0
570.00 1.0
571.00 1.0
572.00 1.0
573.00 1.0
574.00 1.0
575.00 1.0
576.00 1.0
577.00 1.0
578.00 1.0
579.00 1.0
580.00 1.0
581.00 1.0
582.00 1.0
583.00 1.0
584.00 1.0
585.00 1.0
586.00 1.0
587.00 1.0
588.00 1.0
589.00 1.0
590.00 1.0
591.00 1.0
592.00 1.0
593.00 1.0
594.00 1.0
595.00 1.0
596.00 1.0
597.00 1.0
598.00 1.0
599.00 1.0
600.00 1.0
601.00 1.0
602.00 1.0
603.00 1.0
604.00 1.0
605.00 1.0
606.00 1.0
607.00 1.0
608.00 1.0
609.00 1.0
610.00 1.0
611.00 1.0
612.00 1.0
613.00 1.0
614.00 1.0
615.00 1.0
616.00 1.0
617.00 1.0
618.00 1.0
619.00 1.0
620.00 1.0
621.00 1.0
622.00 1.0
623.00 1.0
624.00 1.0
625.00 1.0
626.00 1.0
627.00 1.0
628.00 1.0
629.00 1.0
630.00 1.0
631.00 1.0
632.00 1.0
633.00 1.0
634.00 1.0
635.00 1.0
636.00 1.0
637.00 1.0
638.00 1.0
639.00 1.0
640.00 1.0
641.00 1.0
642.00 1.0
643.00 1.0
644.00 1.0
645.00 1.0
646.00 1.0
647.00 1.0
648.00 1.0
649.00 1.0
650.00 1.0
651.00 1.0
652.00 1.0
653.00 1.0
654.00 1.0
655.00 1.0
656.00 1.0
657.00 1.0
658.00 1.0
659.00 1.0
660.00 1.0
661.00 1.0
662.00 1.0
663.00 1.0
664.00 1.0
665.00 1.0
666.00 1.0
667.00 1.0
668.00 1.0
669.00 1.0
670.00 1.0
671.00 1.0
672.00 1.0
673.00 1.0
674.00 1.0
675.00 1.0
676.00 1.0
677.00 1.0
678.00 1.0
679.00 1.0
680.00 1.0
681.00 1.0
682.00 1.0
683.00 1.0
684.00 1.0
685.00 1.0
686.00 1.0
687.00 1.0
688.00 1.0
689.00 1.0
690.00 1.0
691.00 1.0
692.00 1.0
693.00 1.0
694.00 1.0
695.00 1.0
696.00 1.0
697.00 1.0
698.00 1.0
699.00 1.0
700.00 1.0
701.00 1.0
702.00 1.0
703.00 1.0
704.00 1.0
705.00 1.0
706.00 1.0
707.00 1.0
708.00 1.0
709.00 1.0
710.00 1.0
711.00 1.0
712.00 1.0
713.00 1.0
714.00 1.0
715.00 1.0
716.00 1.0
717.00 1.0
718.00 1.0
719.00 1.0
720.00 1.0
721.00 1.0
722.00 1.0
723.00 1.0
724.00 1.0
725.00 1.0
726.00 1.0
727.00 1.0
728.00 1.0
729.00 1.0
730.00 1.0
731.00 1.0
732.00 1.0
733.00 1.0
734.00 1.0
735.00 1.0
736.00 1.0
737.00 1.0
738.00 1.0
739.00 1.0
740.00 1.0
741.00 1.0
742.00 1.0
743.00 1.0
744.00 1.0
745.00 1.0
746.00 1.0
747.00 1.0
748.00 1.0
749.00 1.0
750.00 1.0
751.00 1.0
752.00 1.0
753.00 1.0
754.00 1.0
755.00 1.0
756.00 1.0
757.00 1.0
758.00 1.0
759.00 1.0
760.00 1.0
761.00 1.0
762.00 1.0
763.00 1.0
764.00 1.0
765.00 1.0
766.00 1.0
767.00 1.0
768.00 1.0
769.00 1.0
770.00 1.0
771.00 1.0
772.00 1.0
773.00 1.0
774.00 1.0
775.00 1.0
776.00 1.0
777.00 1.0
778.00 1.0
779.00 1.0
780.00 1.0
781.00 1.0
782.00 1.0
783.00 1.0
784.00 1.0
785.00 1.0
786.00 1.0
787.00 1.0
788.00 1.0
789.00 1.0
790.00 1.0
791.00 1.0
792.00 1.0
793.00 1.0
794.00 1.0
795.00 1.0
796.00 1.0
797.00 1.0
798.00 1.0
799.00 1.0
800.00 1.0
801.00 1.0
802.00 1.0
803.00 1.0
804.00 1.0
805.00 1.0
806.00 1.0
807.00 1.0
808.00 1.0
809.00 1.0
810.00 1.0
811.00 1.0
812.00 1.0
813.00 1.0
814.00 1.0
815.00 1.0
816.00 1.0
817.00 1.0
818.00 1.0
819.00 1.0
820.00 1.0
821.00 1.0
822.00 1.0
823.00 1.0
824.00 1.0
825.00 1.0
826.00 1.0
827.00 1.0
828.00 1.0
829.00 1.0
830.00 1.0
831.00 1.0
832.00 1.0
833.00 1.0
834.00 1.0
835.00 1.0
836.00 1.0
837.00 1.0
838.00 1.0
839.00 1.0
840.00 1.0
841.00 1.0
842.00 1.0
843.00 1.0
844.00 1.0
845.00 1.0
846.00 1.0
847.00 1.0
848.00 1.0
849.00 1.0
850.00 1.0
851.00 1.0
852.00 1.0
853.00 1.0
854.00 1.0
855.00 1.0
856.00 1.0
857.00 1.0
858.00 1.0
859.00 1.0
860.00 1.0
861.00 1.0
862.00 1.0
863.00 1.0
864.00 1.0
865.00 1.0
866.00 1.0
867.00 1.0
868.00 1.0
869.00 1.0
870.00 1.0
871.00 1.0
872.00 1.0
873.00 1.0
874.00 1.0
875.00 1.0
876.00 1.0
877.00 1.0
878.00 1.0
879.00 1.0
880.00 1.0
881.00 1.0
882.00 1.0
883.00 1.0
884.00 1.0
885.00 1.0
886.00 1.0
887.00 1.0
888.00 1.0
889.00 1.0
890.00 1.0
891.00 1.0
892.00 1.0
893.00 1.0
894.00 1.0
895.00 1.0
896.00 1.0
897.00 1.0
898.00 1.0
899.00 1.0
900.00 1.0
901.00 1.0
902.00 1.0
903.00 1.0
904.00 1.0
905.00 1.0
906.00 1.0
907.00 1.0
908.00 1.0
909.00 1.0
910.00 1.0
911.00 1.0
912.00 1.0
913.00 1.0
914.00 1.0
915.00 1.0
916.00 1.0
917.00 1.0
918.00 1.0
919.00 1.0
920.00 1.0
921.00 1.0
922.00 1.0
923.00 1.0
924.00 1.0
925.00 1.0
926.00 1.0
927.00 1.0
928.00 1.0
929.00 1.0
930.00 1.0
931.00 1.0
932.00 1.0
933.00 1.0
934.00 1.0
935.00 1.0
936.00 1.0
937.00 1.0
938.00 1.0
939.00 1.0
940.00 1.0
941.00 1.0
942.00 1.0
943.00 1.0
944.00 1.0
945.00 1.0
946.00 1.0
947.00 1.0
948.00 1.0
949.00 1.0
950.00 1.0
951.00 1.0
952.00 1.0
953.00 1.0
954.00 1.0
955.00 1.0
956.00 1.0
957.00 1.0
958.00 1.0
959.00 1.0
960.00 1.0
961.00 1.0
962.00 1.0
963.00 1.0
964.00 1.0
965.00 1.0
966.00 1.0
967.00 1.0
968.00 1.0
969.00 1.0
970.00 1.0
971.00 1.0
972.00 1.0
973.00 1.0
974.00 1.0
975.00 1.0
976.00 1.0
977.00 1.0
978.00 1.0
979.00 1.0
980.00 1.0
981.00 1.0
982.00 1.0
983.00 1.0
984.00 1.0
985.00 1.0
986.00 1.0
987.00 1.0
988.00 1.0
989.00 1.0
990.00 1.0
991.00 1.0
992.00 1.0
993.00 1.0
994.00 1.0
995.00 1.0
996.00 1.0
997.00 1.0
998.00 1.0
999.00 1.0
1000.0 1.0
1001.0 1.0
1002.0 1.0
1003.0 1.0
1004.0 1.0
1005.0 1.0
1006.0 1.0
1007.0 1.0
1008.0 1.0
1009.0 1.0
1010.0 1.0
1011.0 1.0
1012.0 1.0
1013.0 1.0
1014.0 1.0
1015.0 1.0
1016.0 1.0
1017.0 1.0
1018.0 1.0
1019.0 1.0
1020.0 1.0
1021.0 1.0
1022.0 1.0
1023.0 1.0
1024.0 1.0
1025.0 1.0
1026.0 1.0
1027.0 1.0
1028.0 1.0
1029.0 1.0
1030.0 1.0
1031.0 1.0
1032.0 1.0
1033.0 1.0
1034.0 1.0
1035.0 1.0
1036.0 1.0
1037.0 1.0
1038.0 1.0
1039.0 1.0
1040.0 1.0
1041.0 1.0
1042.0 1.0
1043.0 1.0
1044.0 1.0
1045.0 1.0
1046.0 1.0
1047.0 1.0
1048.0 1.0
1049.0 1.0
1050.0 1.0
1051.0 1.0
1052.0 1.0
1053.0 1.0
1054.0 1.0
1055.0 1.0
1056.0 1.0
1057.0 1.0
1058.0 1.0
1059.0 1.0
1060.0 1.0
1061.0 1.0
1062.0 1.0
1063.0 1.0
1064.0 1.0
1065.0 1.0
1066.0 1.0
1067.0 1.0
1068.0 1.0
1069.0 1.0
1070.0 1.0
1071.0 1.0
1072.0 1.0
1073.0 1.0
1074.0 1.0
1075.0 1.0
1076.0 1.0
1077.0 1.0
1078.0 1.0
1079.0 1.0
1080.0 1.0
1081.0 1.0
1082.0 1.0
1083.0 1.0
1084.0 1.0
1085.0 1.0
1086.0 1.0
1087.0 1.0
1088.0 1.0
1089.0 1.0
1090.0 1.0
1091.0 1.0
1092.0 1.0
1093.0 1.0
1094.0 1.0
1095.0 1.0
1096.0 1.0
1097.0 1.0
1098.0 1.0
1099.0 1.0
1100.0 1.0
1101.0 1.0
1102.0 1.0
1103.0 1.0
1104.0 1.0
1105.0 1.0
1106.0 1.0
1107.0 1.0
1108.0 1.0
1109.0 1.0
1110.0 1.0
1111.0 1.0
1112.0 1.0
1113.0 1.0
1114.0 1.0
1115.0 1.0
1116.0 1.0
1117.0 1.0
1118.0 1.0
1119.0 1.0
1120.0 1.0
1121.0 1.0
1122.0 1.0
1123.0 1.0
1124.0 1.0
1125.0 1.0
1126.0 1.0
1127.0 1.0
1128.0 1.0
1129.0 1.0
1130.0 1.0
1131.0 1.0
1132.0 1.0
1133.0 1.0
1134.0 1.0
1135.0 1.0
1136.0 1.0
1137.0 1.0
1138.0 1.0
1139.0 1.0
1140.0 1.0
1141.0 1.0
1142.0 1.0
1143.0 1.0
1144.0 1.0
1145.0 1.0
1146.0 1.0
1147.0 1.0
1148.0 1.0
1149.0 1.0
1150.0 1.0
1151.0 1.0
1152.0 1.0
1153.0 1.0
1154.0 1.0
1155.0 1.0
1156.0 1.0
1157.0 1.0
1158.0 1.0
1159.0 1.0
1160.0 1.0
1161.0 1.0
1162.0 1.0
1163.0 1.0
1164.0 1.0
1165.0 1.0
1166.0 1.0
1167.0 1.0
1168.0 1.0
1169.0 1.0
1170.0 1.0
1171.0 1.0
1172.0 1.0
1173.0 1.0
1174.0 1.0
1175.0 1.0
1176.0 1.0
1177.0 1.0
1178.0 1.0
1179.0 1.0
1180.0 1.0
1181.0 1.0
1182.0 1.0
1183.0 1.0
1184.0 1.0
1185.0 1.0
1186.0 1.0
1187.0 1.0
1188.0 1.0
1189.0 1.0
1190.0 1.0
1191.0 1.0
1192.0 1.0
1193.0 1.0
1194.0 1.0
1195.0 1.0
1196.0 1.0
1197.0 1.0
1198.0 1.0
1199.0 1.0
1200.0 1.0
